id,trigger,conditions,script,text,options,notes
#RULESET_NAME Kang Charter
# Commission ask
CMSNTextReject_Vengeful_KangCharter,CMSNTextRejectHostile,"$faction.id == kangcharter
$faction.rel == VENGEFUL",,"""Are you really expected to be commissioned here after all the stunts you have pulled?

Get lost.""",,
CMSNTextReject_Hostile_KangCharter,CMSNTextRejectHostile,"$faction.id == kangcharter
$faction.rel == HOSTILE",,"The $PersonRank looks at a console you can't see for a short time.

""The Judiciary Executor council has deemed you a threat to the existence of the Charter, with all that implies.

If you want to officially work for us you will need to completely turn your reputation around, a difficult objective but we are forgiving and you seem capable so I'd advise you get to it if your intentions are pure.""",,
CMSNTextHasOther_Vengeful_KangCharter,CMSNTextHasOther,"$faction.id == kangcharter
$faction.rel == VENGEFUL",,"""Surprisingly, we don't dwellers sent by $theOtherCommissionFaction to destabilize the Charter for their benefit, get lost.""",,
CMSNTextHasOther_Hostile_KangCharter,CMSNTextHasOther,"$faction.id == kangcharter
$faction.rel == HOSTILE",,"""We don't commission enemies of the state, even less when they are commissioned by $theOtherCommissionFaction.""",,
CMSNTextHasOther_Inhospitable_KangCharter,CMSNTextHasOther,"$faction.id == kangcharter
$faction.rel == INHOSPITABLE",,"The $PersonRank looks at a console you can't see for a short time.

""Outsider, you are already commissioned by $theOtherCommissionFaction and you certainly don't meet the requirements either way. Do not waste my time.""",,
CMSNTextHasOther_Suspicious_KangCharter,CMSNTextHasOther,"$faction.id == kangcharter
$faction.rel == SUSPICIOUS",,"The $PersonRank looks at a console you can't see for a short time.

""You are already commissioned by $theOtherCommissionFaction, outsider. We are not intersted in commissioning an outsider tied to the interests of the sector at large. 

If you want to be commissioned by us you must renounce $theOtherCommissionFaction and prove yourself a reliable asset.",,
CMSNTextHasOther_Neutral_KangCharter,CMSNTextHasOther,"$faction.id == kangcharter
$faction.rel == NEUTRAL",,"The $PersonRank looks at a console you can't see for a short time.

""You are already commissioned by $theOtherCommissionFaction, we will not bring the irrelevant and violent politics of the sector here so you must renounce $theOtherCommissionFaction to officially work for us.

This is a decision that will irrevocably change your fate so I'd advise thinking it over on your own time.""",,
CMSNTextHasOther_Favorable_KangCharter,CMSNTextHasOther,"$faction.id == kangcharter
$faction.rel == FAVORABLE",,"The $PersonRank looks at a console you can't see for a short time.

""You are already commissioned by $theOtherCommissionFaction, regardless of your status here we are not going to commission someone who isn't willing to put the interests of the Charter first. 

If you want to be commissioned by us then you must renounce the $theOtherCommissionFaction commission.

This is a decision that will irrevocably change your fate so I'd advise thinking it over on your own time.""",,
CMSNTextHasOther_Welcoming_KangCharter,CMSNTextHasOther,"$faction.id == kangcharter
$faction.rel == WELCOMING",,"The $PersonRank looks at a console you can't see for a short time.

""You are already commissioned by $theOtherCommissionFaction, regardless of your status here we are not going to commission someone who isn't willing to put the interests of the Charter first. 

If you want to be commissioned by us then you must renounce the $theOtherCommissionFaction commission.

This is a decision that will irrevocably change your fate so I'd advise thinking it over on your own time.""",,
CMSNTextHasOther_Friendly_KangCharter,CMSNTextHasOther,"$faction.id == kangcharter
$faction.rel == FRIENDLY",,"""$playerName, you are already commissioned by $theOtherCommissionFaction, regardless of your status here we are not going to commission someone who isn't willing to put the interests of the Charter first. 

If you want to be commissioned by us then you must renounce the $theOtherCommissionFaction commission.

This is a decision that will irrevocably change your fate so I'd advise thinking it over on your own time.""",,
CMSNTextHasOther_Cooperative_KangCharter,CMSNTextHasOther,"$faction.id == kangcharter
$faction.rel == COOPERATIVE",,"""$playerName, you are already commissioned by $theOtherCommissionFaction, regardless of your status here we are not going to commission someone who isn't willing to put the interests of the Charter first. 

If you want to be commissioned by us then you must renounce the $theOtherCommissionFaction commission.

Considering all that you've done for us this should be an easy decision.""",,
CMSNTextUnsuited_KangCharter,CMSNTextUnsuited,$faction.id == kangcharter,,"The $PersonRank looks at a console you can't see for a short time.

""You are not notable enough to the Charter to qualify for a commission, we don't commission just any third party so you need to acquire a reputation before applying.

I'd recommend developing a contact here that can offer you jobs, it's the most stable way.""",,
CMSNTextUnsuited_Neutral_KangCharter,CMSNTextUnsuited,"$faction.id == kangcharter
$faction.rel == NEUTRAL",,"The $PersonRank looks at a console you can't see for a short time.

""You have aquired a bit of a reputation but for the Charter to consider you for a commission you need to show us you are very reliable, this is a long term commitment after all.

I'd recommend developing a contact here that can offer you jobs, it's the most stable way.""",,
CMSNTextSuitedPart1_KangCharter,CMSNTextSuitedPart1,$faction.id == kangcharter,,"The $PersonRank looks at a console you can't see for a short time.

""Your willingness to collaborate with the Kang Charter has been noted and you certainly meet the requirements.

A commission with us would entail you occasionally dispatching of enemies we cannot engage directly, these are typically factions that threaten our sovereignty or individuals judged as high instability targets.

There's also a certain... threat to the continued existence of the Charter, I'm sure you are acquainted of it, but taking it on is not an expectation.

You can resign this commission later down the line if you so choose but we expect you to remain loyal.""",,
CMSNTextSuitedPart2_KangCharter,CMSNTextSuitedPart2,$faction.id == kangcharter,,"""Are you confident in your ability to serve our cause? If so, sign here.""",,
# Commission Followup
CMSNTextWelcomePart1_KangCharter,CMSNTextWelcomePart1,$faction.id == kangcharter,,"""Welcome aboard, captain. May your lights shine bright against the darkness.

Be sure to visit Helm to get acquainted with our latest military hardware.""",,
CMSNTextWelcomePart2_KangCharter,CMSNTextWelcomePart2,$faction.id == kangcharter,,"""Anything else you require?""",,
CMSNTextChangeMind_KangCharter,CMSNTextChangeMind,$faction.id == kangcharter,,"""Well it IS a high risk job and as such, not for everyone.""",,
CMSNResignAskToConfirm_KangCharter,CMSNResignAskToConfirm,$faction.id == kangcharter,,"The $PersonRank raises an eyebrow

""Turning your back on the Charter is not a decision that we will look kindly to, but you are free to leave if you so choose.""",,
CMSNResignConfirmed_KangCharter,CMSNResignConfirmed,$faction.id == kangcharter,,"""As of now you are no longer employed by the Sovereign Kang Charter of Orion, we wish you no harm but you shouldn't have sought our commission in the first place.""",,
CMSNResignCancelled_KangCharter,CMSNResignCancelled,$faction.id == kangcharter,,"""Then you have nothing to worry about.""",,
# Fleet encounter
greeting_Cooperative_KangCharter,OpenCommLink,"$faction.id == kangcharter
$faction.friendlyToPlayer
$faction.rel == COOPERATIVE","$menuState = fleetConvMain 0
FireAll PopulateOptions","""You reach out once again $playerName? Communication with you is always welcome.""
OR
""$playerName!

To what do we owe this communication?""
OR
""This is $personRank $personName. Do you need assistance from the Charter $playerName?""
OR
""Encountering you is a much welcome respite from the void, $playerName.""
OR
""May the abyssal lights light your path, $playerName.""
OR
""We stand with you, $playerName.""
OR
""Friendly faces are rare to the Charter, do you have something to discuss?""
OR
""$playerName! We are big fans of your work. Keep doing what you are doing.""
OR
""May your lights shine bright against the darkness, $playerName.""",,
greeting_Friendly_KangCharter,OpenCommLink,"$faction.id == kangcharter
$faction.friendlyToPlayer
$faction.rel == FRIENDLY","$menuState = fleetConvMain 0
FireAll PopulateOptions","""You reach out once again $playerName? Communication with you is always welcome.""
OR
""You are $playerName, yes?

Our ports are open to you, should you seek them out.""
OR
""This is $personRank $personName. Do you need assistance from the Charter?""
OR
""Encountering a friendly face is a much welcome respite from the void, $playerName.""
OR
""May the abyssal lights light your path, outsider.""
OR
""We stand with you, outsider.""
OR
""$playerName.""

The $personRank nods.
OR
""Friendly faces are rare to the Charter, do you have something to discuss?""
OR
""$playerName! We are big fans of your work. Keep doing what you are doing.""
OR
""May your lights shine bright against the darkness, $playerName.""",,
greeting_FriendlyNeutral_KangCharter,OpenCommLink,"$faction.id == kangcharter
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""You reach out once again $playerName? Communication with you is always welcome.""
OR
""You are $playerName, yes?

Our ports are open to you, should you seek them out.""
OR
""This is $personRank $personName. Do you need assistance from the Charter?""
OR
""Encountering you is a much welcome respite from the void, $playerName.""
OR
""May the abyssal lights light your path, $playerName.""
OR
""$playerName.""

The $personRank nods.
OR
""Friendly faces are rare to the Charter, do you have something to discuss?""
OR
""May your lights shine bright against the darkness, $playerName.""",,
